'InvCoshPar_uu_width','InvCoshPar_uu_g0','InvCoshPar_uu_g1','InvCoshPar_uu_g2','InvCoshPar_uu_g3','InvCoshPar_uu_g4','InvCoshPar_ud_width','InvCoshPar_ud_g0','InvCoshPar_ud_g1','InvCoshPar_ud_g2','InvCoshPar_ud_g3','InvCoshPar_ud_g4','InvCoshPar_us_width','InvCoshPar_us_g0','InvCoshPar_us_g1','InvCoshPar_us_g2','InvCoshPar_us_g3','InvCoshPar_us_g4','InvCoshPar_ss_width','InvCoshPar_ss_g0','InvCoshPar_ss_g1','InvCoshPar_ss_g2','InvCoshPar_ss_g3','InvCoshPar_ss_g4'
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
1.04147,0.320971,-0.654667,-0.0583448,0.0785644,0.000547547,1.28192,0.294078,0.579584,0.0638522,0.0628076,0.0406562,0.968597,-0.0506923,-0.743296,-0.447453,0.096405,-0.0135308,1.34704,0.399093,0.99451,0.100722,-0.00725255,0.0195933
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.798391,0.40347,-0.433389,0.0165806,0.0895846,0.00225038,1.45825,0.347725,0.867837,0.0745945,0.0395475,0.0293351,1.14571,-0.229823,-0.594259,-0.433284,0.0861578,0.000359239,1.44366,0.283582,0.86409,0.108793,0.0331211,0.0108938
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.895584,0.455219,-0.636419,0.0937308,0.0199652,0.00728126,1.78192,0.0434895,0.961092,0.181496,0.0332343,0.0259163,1.22852,-0.0341644,-0.644878,-0.461993,0.0690408,0.00762744,1.62643,0.640983,0.415248,0.140853,0.038267,0.0280289
0.862806,0.506037,-0.410889,-0.0768274,0.0621465,0.0163226,1.70298,0.127412,0.807714,0.102241,0.0220174,0.0209395,1.33477,-0.291972,-0.706065,-0.400075,0.0431938,0.0117854,1.85089,0.309672,0.401525,0.0850768,0.0484318,0.0270829
0.862806,0.506037,-0.410889,-0.0768274,0.0621465,0.0163226,1.70298,0.127412,0.807714,0.102241,0.0220174,0.0209395,1.33477,-0.291972,-0.706065,-0.400075,0.0431938,0.0117854,1.85089,0.309672,0.401525,0.0850768,0.0484318,0.0270829
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.765283,0.217823,-0.308794,-0.0182824,0.0319683,0.0178109,1.59794,0.0629739,0.977897,0.0922987,0.0425411,0.0127985,1.20441,0.00774685,-0.576292,-0.453319,-0.00136657,0.0218525,1.62492,0.493244,0.923198,0.0314303,0.0919299,0.0159668
0.842618,0.328294,-0.645679,0.0159999,0.0398384,0.0221687,1.67928,-0.103733,0.876194,0.0968979,0.00670379,0.00705037,1.32542,-0.0448554,-0.695141,-0.369283,-0.0141191,0.0225145,1.50949,0.689678,0.803534,0.008123,0.142995,0.0252837
0.842618,0.328294,-0.645679,0.0159999,0.0398384,0.0221687,1.67928,-0.103733,0.876194,0.0968979,0.00670379,0.00705037,1.32542,-0.0448554,-0.695141,-0.369283,-0.0141191,0.0225145,1.50949,0.689678,0.803534,0.008123,0.142995,0.0252837
0.842618,0.328294,-0.645679,0.0159999,0.0398384,0.0221687,1.67928,-0.103733,0.876194,0.0968979,0.00670379,0.00705037,1.32542,-0.0448554,-0.695141,-0.369283,-0.0141191,0.0225145,1.50949,0.689678,0.803534,0.008123,0.142995,0.0252837
0.842618,0.328294,-0.645679,0.0159999,0.0398384,0.0221687,1.67928,-0.103733,0.876194,0.0968979,0.00670379,0.00705037,1.32542,-0.0448554,-0.695141,-0.369283,-0.0141191,0.0225145,1.50949,0.689678,0.803534,0.008123,0.142995,0.0252837
0.842618,0.328294,-0.645679,0.0159999,0.0398384,0.0221687,1.67928,-0.103733,0.876194,0.0968979,0.00670379,0.00705037,1.32542,-0.0448554,-0.695141,-0.369283,-0.0141191,0.0225145,1.50949,0.689678,0.803534,0.008123,0.142995,0.0252837
0.925549,0.258964,-0.770601,-0.0326402,0.105179,0.0363021,1.60831,0.109348,0.902464,0.319836,0.0239075,0.00925276,1.30213,-0.448352,-0.65002,-0.103754,-0.00768745,0.0242685,1.46344,0.749428,0.79259,0.0434054,0.132399,0.0247675
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
0.988477,0.623475,-0.886899,-0.0607093,0.149446,0.0348404,1.61209,0.110499,0.988261,0.389258,-0.00145698,0.0141375,1.19152,-0.434931,-0.378998,-0.106693,-0.00275916,0.0267397,1.44262,0.647775,0.748794,0.0824181,0.161424,0.0266819
